Date,Temperature,Relative Humdity,Wind Speed
2015-08-16,29.62919967,76.83333333,5.236162149
2015-08-17,32.08336721,63.95833333,5.128413404
2015-08-18,33.63919996,54.625,11.1473822
2015-08-19,33.56920029,50.75,13.84005725
2015-08-20,32.32086679,53.66666667,14.12986586
2015-08-21,30.70336646,61.70833333,8.317440563
2015-08-22,31.16128333,57.04166667,8.374069242
2015-08-23,32.41045046,53.20833333,5.694104683
2015-08-24,33.29378421,48.83333333,8.670004496
2015-08-25,34.82295054,42,11.21227197
2015-08-26,35.14586721,40.58333333,12.27353156
2015-08-27,35.24503392,39.83333333,9.351727238
2015-08-28,33.74295046,50.04166667,9.690444442
2015-08-29,34.995867,40.5,7.853211496
2015-08-30,35.48628404,36.5,9.73107545
2015-08-31,35.33128429,33.41666667,14.7385829
2015-09-01,34.6954505,30.79166667,15.00146432
2015-09-02,34.29253413,31.54166667,12.48603343
2015-09-03,34.5017005,29.125,11.63381639
2015-09-04,34.73003413,26.91666667,12.85099687
2015-09-05,34.48295021,27.75,15.59429236
2015-09-06,34.01253338,27.66666667,13.25632287
2015-09-07,33.89503367,30.66666667,13.75429682
2015-09-08,34.53295033,29.41666667,13.83472365
2015-09-09,34.46295033,27.41666667,10.97554331
2015-09-10,35.01003383,27.33333333,11.51651283
2015-09-11,35.23336746,26.83333333,8.084943708
2015-09-12,33.89795025,30.375,6.532425145
2015-09-13,33.54878354,41.33333333,8.190164788
2015-09-14,34.33461696,31.83333333,7.551414021
2015-09-15,34.35086683,30.54166667,7.673102967
2015-09-16,33.61378358,35.20833333,7.748221958
2015-09-17,33.92670033,35.58333333,7.342086692
2015-09-18,32.62878375,49.58333333,10.33521304
2015-09-19,32.72545025,51.54166667,8.390499433
2015-09-20,32.70003371,50.91666667,10.61548793
2015-09-21,29.47044958,67.70833333,7.495003604
2015-09-22,29.23294996,68.79166667,11.83256261
2015-09-23,30.27878325,58.29166667,7.228100142
2015-09-24,30.75711667,41.16666667,12.38986718
2015-09-25,31.32336658,31.58333333,12.07747593
2015-09-26,31.72003313,33.79166667,9.331431429
2015-09-27,31.64211675,35.41666667,6.566177079
2015-09-28,31.66628329,31.95833333,9.0581446
2015-09-29,31.19503342,31.125,8.659057363
2015-09-30,30.97170013,29.375,12.58139208
2015-10-01,30.87503329,25.04166667,8.823457438
2015-10-02,31.52295029,22.125,9.793321429
2015-10-03,32.18628392,20.91666667,8.541038767
2015-10-04,32.69295,21.16666667,7.290690821
2015-10-05,32.29253338,23.95833333,7.203247125
2015-10-06,32.19836629,25.41666667,7.234818408
2015-10-07,32.21545008,24.45833333,7.488749071
2015-10-08,32.17419996,27.20833333,8.765207283
2015-10-09,32.49378367,23.16666667,9.888848483
2015-10-10,32.49086667,20.125,8.983281025
2015-10-11,31.77545021,26.375,6.206961129
2015-10-12,31.88169983,31.58333333,9.397085417
2015-10-13,30.82586654,38.70833333,10.7622291
