PM10 Delhi,12:00:00 AM,1:00:00 AM,2:00:00 AM,3:00:00 AM,4:00:00 AM,5:00:00 AM,6:00:00 AM,7:00:00 AM,8:00:00 AM,9:00:00 AM,10:00:00 AM,11:00:00 AM,12:00:00 PM,1:00:00 PM,2:00:00 PM,3:00:00 PM,4:00:00 PM,5:00:00 PM,6:00:00 PM,7:00:00 PM,8:00:00 PM,9:00:00 PM,10:00:00 PM,11:00:00 PM
2/24/2015,255.38,141.62,338.87,340.46,342.69,318.04,295.08,277.36,267.72,287.9,312.67,238.06,263.3,216.6,210.48,175.12,137.84,186.66,152.43,170.78,195.99,183.8,213.55,197.61
2/25/2015,165.27,184.35,188.51,153,158.12,165.26,184.15,193.05,181.83,152.52,171.15,149.06,168.43,177.61,179.62,174.78,153.77,130.93,138,146.68,162.71,258.84,176.26,155.7
2/26/2015,164.19,167.78,172.76,188.73,140.54,188.19,184.5,200.11,238.49,209.42,201,187.54,157.94,180.55,171.95,173.96,197.17,151.8,119.23,122.3,160.36,169.98,154.49,116.3
2/27/2015,144.48,182.19,166.49,167.29,142.34,171.13,214,231.89,219.42,177.41,210.32,237.47,168.98,173.7,119.51,120.97,111.84,148.99,102.07,127.04,169.23,149.65,128.66,143.04
2/28/2015,171.52,160.38,156.96,158.04,156.81,156.62,185.08,183.06,199.13,224.86,269.58,192.46,152.29,147.93,128.73,138.91,99.3,75.25,79.89,92.23,145.16,249.03,256.85,282.56
3/1/2015,324.37,261.18,241.59,197.98,133.55,117.3,191.55,88.29,232.49,93.98,30,56.47,38.04,66.53,30,30,30,30,30,30,30,30,30,30
3/2/2015,30,30,30,30,30,30,100.4,198.84,18.65,35.92,25.3,62.23,63.91,52.4,29.3,92.94,70.01,70.43,75.82,69.28,77.63,68.35,68.96,83.17
3/3/2015,65.75,40.94,68.64,69.46,105.74,138.52,128.21,150.16,110.43,95.8,117.03,86.93,93.25,169.88,122.88,122.53,146.3,119.31,102.14,113.7,116.2,124.42,156.37,125.85
3/4/2015,150.57,168.34,129.04,128.31,143.08,155.77,159.26,156.71,179.83,149.9,113.65,88.46,112.9,150.9,123.58,120.07,101.61,102.05,91.62,85.26,120.2,131.92,178.98,297.65
3/5/2015,192.12,262.55,285.06,199.77,200.93,193.43,213.99,263.98,266.52,227.28,194.96,88.79,115.51,178.9,209.47,129.2,145.6,134.78,120.04,132.72,164.37,178.26,273.37,336.87
3/6/2015,425.8,400.07,383.5,410.94,175.15,91.37,105.9,207.09,277.34,127.01,112.09,110.53,82.32,93.68,109.43,93.66,105.83,114.93,94.47,103.18,95.59,68.48,74.62,52.46
3/7/2015,83.55,62.52,67.92,69.91,81.2,71.59,95.79,74.43,83.32,92.3,96.67,112.5,145.83,157.62,130.46,97.54,128.44,116.4,79.19,46.12,77.46,73.89,68.36,59.89
3/8/2015,39.67,54.53,47.61,60.6,95.61,70.01,91.34,88.69,64.38,82.81,131.27,98.32,97.98,65.65,72.05,127.41,118.16,93.51,90.59,85.09,75.28,81.12,58.42,34.81
3/9/2015,92.15,109.54,98.01,91.7,125.72,82.22,99.36,98.54,114.44,111.26,128.34,148.84,169.17,171.9,148.79,124.8,137.83,117.13,118.47,94.49,93.11,96.66,110.44,134.18
3/10/2015,160.29,128.12,114.65,164.17,140.76,133.5,143.25,139.22,157.97,173.05,171.62,140.38,150.61,143.09,163.85,144.95,139.07,160.19,163.83,174.59,147.62,135.11,149.62,182.49
3/11/2015,188.78,218.11,198.7,176.17,175.58,166.62,159.97,168.17,161.1,134.07,139.94,144.45,174.89,183.01,203.12,172.45,156.54,154.58,163.88,161.74,202.4,191.45,203.68,229.44
3/12/2015,296.71,256.14,254.3,259.01,234.62,265.98,290.39,208.27,183.08,198.77,225.19,262.91,231.6,184.75,181.43,156.66,124.98,116.84,142.93,190.45,170.92,152.54,134.38,167.13
3/13/2015,202.99,142.78,160.97,176.25,146.91,183.23,178.66,228.74,241.36,203.83,154.91,183.34,189.01,181.3,195.18,159.76,184.93,179.27,177.62,205.99,192.04,125.17,73.67,105.4
3/14/2015,55.53,98.07,113.48,97.06,74.36,86.45,111.52,85.3,113.3,124.71,114.87,173.86,148.43,123.1,151.51,114.41,89.47,91.84,83.19,92.51,122.15,96.45,81.05,84.35
